year,skill,count
2015,javascript,2534
2015,html,2221
2015,php,2099
2015,jquery,1849
2015,mysql,1800
2015,css,1798
2015,html5,1690
2015,ведение переговоров,1682
2015,git,1622
2015,css3,1399
2015,поиск и привлечение клиентов,1352
2015,активные продажи,1328
2015,пользователь пк,1278
2015,работа в команде,1236
2015,управление проектами,1136
2015,ajax,1117
2015,ооп,1117
2015,грамотная речь,1115
2015,b2b продажи,1093
2015,деловая переписка,1088
2016,javascript,8832
2016,html,7065
2016,php,6641
2016,ведение переговоров,6594
2016,css,5977
2016,пользователь пк,5955
2016,git,5743
2016,jquery,5732
2016,mysql,5504
2016,работа в команде,5478
2016,html5,4892
2016,грамотная речь,4741
2016,навыки продаж,4490
2016,поиск и привлечение клиентов,4385
2016,активные продажи,4095
2016,управление проектами,3990
2016,css3,3905
2016,деловая переписка,3858
2016,ооп,3857
2016,телефонные переговоры,3668
2017,javascript,12755
2017,html,9893
2017,php,9410
2017,css,8717
2017,git,8348
2017,mysql,7953
2017,ведение переговоров,7483
2017,jquery,6938
2017,html5,6276
2017,работа в команде,5982
2017,пользователь пк,5701
2017,активные продажи,5389
2017,ооп,5318
2017,управление проектами,5290
2017,sql,5095
2017,грамотная речь,5070
2017,b2b продажи,4916
2017,телефонные переговоры,4835
2017,linux,4677
2017,css3,4573
2018,javascript,17273
2018,html,13257
2018,git,12322
2018,php,12252
2018,css,11710
2018,ведение переговоров,11241
2018,mysql,10452
2018,работа в команде,9756
2018,пользователь пк,9192
2018,активные продажи,8259
2018,управление проектами,8075
2018,sql,7972
2018,html5,7915
2018,грамотная речь,7897
2018,jquery,7818
2018,телефонные переговоры,7651
2018,b2b продажи,7447
2018,деловая переписка,7375
2018,linux,6702
2018,поиск и привлечение клиентов,6450
2019,javascript,17027
2019,пользователь пк,14516
2019,git,13697
2019,работа в команде,13285
2019,html,13082
2019,ведение переговоров,12388
2019,грамотная речь,12049
2019,php,11551
2019,css,11294
2019,mysql,9934
2019,sql,9830
2019,активные продажи,9690
2019,управление проектами,8838
2019,телефонные переговоры,8360
2019,b2b продажи,8164
2019,linux,8114
2019,деловая переписка,8051
2019,деловое общение,7849
2019,английский язык,7603
2019,ооп,6694
2020,пользователь пк,27471
2020,грамотная речь,24399
2020,работа в команде,23749
2020,git,20765
2020,javascript,20250
2020,активные продажи,18079
2020,sql,16373
2020,html,15564
2020,css,13824
2020,ведение переговоров,13662
2020,английский язык,13600
2020,linux,13441
2020,php,13119
2020,mysql,12736
2020,деловое общение,12502
2020,телефонные переговоры,11713
2020,клиентоориентированность,10477
2020,управление проектами,10315
2020,b2b продажи,10258
2020,холодные продажи,9966
2021,работа в команде,56547
2021,грамотная речь,52392
2021,пользователь пк,44969
2021,git,32335
2021,javascript,28152
2021,английский язык,26994
2021,sql,26394
2021,активные продажи,24124
2021,деловое общение,23031
2021,ведение переговоров,22640
2021,linux,20704
2021,html,19865
2021,грамотность,19794
2021,телефонные переговоры,19523
2021,adobe photoshop,18562
2021,управление проектами,18316
2021,php,17806
2021,css,17334
2021,деловая переписка,17226
2021,mysql,17136
2022,работа в команде,64530
2022,пользователь пк,43239
2022,грамотная речь,33048
2022,git,27026
2022,sql,23382
2022,английский язык,21811
2022,техническое обслуживание,21110
2022,javascript,20738
2022,linux,20476
2022,adobe photoshop,19844
2022,работа в условиях многозадачности,18143
2022,грамотность,16476
2022,управление проектами,15876
2022,1с программирование,15836
2022,настройка пк,15799
2022,работа с большим объемом информации,15496
2022,php,15144
2022,1с: предприятие 8,14446
2022,умение работать в команде,14034
2022,mysql,13607
2023,работа в команде,29227
2023,грамотная речь,23719
2023,пользователь пк,22283
2023,деловое общение,14065
2023,sql,13868
2023,git,13440
2023,adobe photoshop,13157
2023,linux,12362
2023,1с программирование,11994
2023,работа с большим объемом информации,11480
2023,техническая поддержка,11349
2023,настройка пк,10577
2023,клиентоориентированность,9989
2023,javascript,9870
2023,управление проектами,9768
2023,1с: предприятие 8,9678
2023,аналитическое мышление,9563
2023,настройка сетевых подключений,9141
2023,php,8971
2023,настройка по,8590
